;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Afghanistan;39849,974754385395;40804,86611033562;41784,72802437951;42769,03901989368;43743,325560523175;44694,175670680015;45622,56412877965;46532,788617686274;47438,86982125296;48350,15120650395;49276,69049820071;50218,002399924044;51172,27230887746;52129,90743086581;53085,066666366416;54030,23850813582;54965,761329152076;55892,03942020116;56815,71586954609;57740,311658246275;58671,45483645983;59608,81779398365;60552,766666654956;61498,636642408084;62444,429143799134;63385,907492838465;64323,440608702454;65256,27858279958;66187,75448396866;67118,88483539983
Albania;2873,080199074692;2867,01482300988;2860,275340968884;2853,6313302500484;2847,6923785596086;2842,7165481639645;2838,5998397626536;2834,9606570376072;2831,3294329685514;2827,309477064494;2822,7092150975523;2817,559910957049;2812,076805720724;2806,5450151243263;2801,2209010727456;2796,242197121918;2791,610686984117;2787,207412379631;2782,8610547191815;2778,407571977869;2773,7506644887535;2768,8760630447982;2763,847981205332;2758,7682864490725;2753,7410365317537;2748,8321346165176;2744,0585718945267;2739,38674788258;2734,7567954973256;2730,1032515694887
Algeria;44616,434440685734;45346,75298670337;46040,13139683978;46694,942767314205;47311,12607897059;47891,09877792857;48439,35650076945;48961,4122963358;49463,0439016382;49950,120222169164;50428,634957234106;50904,55773940045;51383,47428036389;51870,23191664944;52368,75477924224;52882,01335756968;53412,04342736294;53959,952733274025;54525,93273773457;55109,31769276499;55708,70250522053;56322,09534447974;56947,07517810885;57580,941321969985;58220,85686590401;58863,98829681107;59507,63617583489;60149,3475687635;60787,003667362376;61418,88142309905
American Samoa;55,13171383079363;55,119792612578195;55,15440216181634;55,22142730953659;55,303413417525405;55,38338594290472;55,447871142458325;55,48871331589288;55,50357972183114;55,49530493360407;55,470410728184675;55,43722606108408;55,4040259127059;55,377526391260325;55,3619454302317;55,358695860031034;55,366649376241554;55,382816801192696;55,4032425601222;55,42390966735738;55,44148750608428;55,45381469498145;55,46007790378493;55,46071045537659;55,45708144040283;55,45107127757015;55,44463259687576;55,4394196084228;55,436541097229934;55,4364592779228
Andorra;77,2508077190727;77,04288889561352;76,63996934890935;76,09066912369258;75,47379810542945;74,87465391864461;74,36359341441926;73,98160131476328;73,73515873859162;73,60013562937442;73,53233233459271;73,48109807414619;73,40229735197873;73,26764946498227;73,06880569061198;72,81604132217741;72,53273841071056;72,24764580562987;71,98711173174951;71,76913789942444;71,6003744168924;71,47629649096737;71,38400952405317;71,30659391923697;71,22771018713576;71,1353287298883;71,02383905856153;70,89429783906746;70,75305584851384;70,60935034724746
Angola;33933,7815554;35026,951580176246;36144,608779598995;37285,46055999301;38449,05929032446;39635,233600038984;40844,37843076895;42076,726999503415;43332,62674360194;44612,07524880659;45915,13206599578;47241,63040717676;48591,56392038044;49964,813779101445;51361,435303798666;52781,38283357445;54224,735872666766;55691,46052324831;57181,613811637006;58695,1502775421;60232,10653125777;61792,4379903162;63376,176830472374;64983,288436224924;66613,80452944523;68267,69785495599;69944,99645580853;71645,67628414632;73369,76041496068;75117,22721703775
Antigua and Barbuda;98,72431079778937;99,50608537961344;100,2741930948442;101,02839239275394;101,76770320633207;102,49085789707856;103,19671801459258;103,88457485429164;104,55429369102791;105,20630334360891;105,84146547148507;106,46087658984894;107,06565917811695;107,65678888041155;108,23498731251946;108,80068982250526;109,35407957372824;109,89516692126581;110,42388772907398;110,94019569535014;111,44413021301538;111,93585036237788;112,41563483111308;112,883854888225;113,34093182274574;113,78729121095414;114,22332448579768;114,6493645438681;115,0656777223862;115,47247049120953
Argentina;45606,683613989415;46013,90879340749;46418,203566157936;46820,40678632399;47221,2765753997;47621,36746984109;48020,98580847806;48420,22138138589;48819,028484339855;49217,31984353356;49615,04161438809;50012,21156922813;50408,918800160405;50805,29592148202;51201,48065890542;51597,58266958696;51993,66555719489;52389,746467848636;52785,80926142988;53181,823811573464;53577,763853102304;53973,61816225091;54369,393313593246;54765,10940641662;55160,792050208416;55556,464248876335;55952,140908184476;56347,82713039013;56743,51992447206;57139,21194032532
Armenia;2968,5365256696955;2973,75202750017;2978,891877945123;2983,919506560222;2988,797144005209;2993,5140646116233;2998,0943459862387;3002,588133081942;3007,0541263667606;3011,541678972266;3016,0788687980316;3020,6693970559563;3025,2975788494364;3029,93817800058;3034,5669517239953;3039,16842544576;3043,7390562369096;3048,285817245661;3052,82168884725;3057,360199968217;3061,910989198607;3066,477589162999;3071,0576558136845;3075,6450294228744;3080,2325613026815;3084,814630202395;3089,3886100110644;3093,9550503573882;3098,516797494809;3103,0775725321314
Aruba;107,22264056947272;107,67891619084662;108,1236459601144;108,53926597789243;108,90792504679496;109,21725726646117;109,46367186973283;109,65222258425838;109,7935333867747;109,89930426941206;109,97825277479919;110,0339341326344;110,06498011926108;110,06731070254416;110,03718694414172;109,97380761545216;109,88049903852341;109,76420818204578;109,63369149515597;109,49723535265693;109,36081245892565;109,2272960951193;109,09687416095909;108,96833524664704;108,84061564474467;108,7139815269405;108,59044420845746;108,47335215893833;108,36642421128046;108,27266629730082
